"STUDENT_NUMBER","GRADE_LEVEL","WEEKHOURS"
125124,11,23.2779356060606
125404,10,27.7485795454545
121044,10,27.7722537878788
122712,10,28.7168560606061
124544,12,30.5890151515152
121736,9,28.0610795454545
121535,9,28.0610795454545
125297,9,27.7627840909091
125952,11,19.4933712121212
120995,10,28.1747159090909
122250,12,13.7405303030303
123801,12,24.7357954545455
126448,9,26.3991477272727
123965,9,29.6732954545455
121003,10,28.984375
126828,12,21.9460227272727
120523,11,19.4034090909091
123600,11,20.2182765151515
125464,10,29.0861742424242
120502,11,24.0984848484848
122276,9,29.7017045454545
123783,11,17.795928030303
121609,9,28.1202651515152
120892,10,27.5
120962,10,27.265625
124550,12,18.4280303030303
119293,12,22.7395833333333
121607,9,28.1628787878788
125735,10,27.5
122530,10,31.0700757575758
122281,9,27.9829545454545
122242,10,28.0610795454545
125405,9,27.6704545454545
125532,11,19.921875
121837,9,27.2940340909091
121697,12,18.0587121212121
126484,11,20.2249053030303
125544,12,17.0430871212121
125730,10,27.6349431818182
125883,11,23.3527462121212
124429,11,20.7012310606061
126411,9,27.5
122869,9,26.25
124868,9,26.9886363636364
125050,10,28.1747159090909
126486,9,27.9119318181818
124939,11,22.5994318181818
125180,11,24.2135416666667
126439,10,25.8664772727273
126444,9,28.0610795454545
119607,12,18.2433712121212
126766,11,23.4535984848485
125112,11,20.3409090909091
119848,12,15.3167613636364
121025,10,27.5
123312,11,25.3787878787879
120416,11,25.030303030303
125882,11,18.8948863636364
124036,9,25.4403409090909
126782,11,22.7035984848485
125120,11,21.1557765151515
125801,10,28.1747159090909
120888,10,27.8551136363636
124573,12,16.9488636363636
119359,12,15.7125946969697
125240,11,21.7144886363636
122728,9,27.8077651515152
121359,11,20.8001893939394
124508,11,18.6434659090909
123217,10,28.1747159090909
125359,10,28.0610795454545
120452,11,30.5658143939394
121381,12,14.5099431818182
126392,10,27.6491477272727
123162,9,28.0610795454545
120882,10,28.0610795454545
121567,9,28.0610795454545
120043,11,21.4488636363636
119177,11,24.4412878787879
120210,12,21.5691287878788
122691,9,28.1628787878788
126435,9,28.9275568181818
120959,10,28.0610795454545
120993,10,27.0596590909091
120241,12,24.3106060606061
121568,9,27.8267045454545
125360,10,30.3030303030303
122275,10,28.1889204545455
121672,9,27.4786931818182
120939,10,28.1628787878788
124715,10,28.0610795454545
121570,9,28.0610795454545
125759,10,27.9356060606061
125748,10,24.8697916666667
120794,12,18.8399621212121
121027,10,26.3991477272727
126581,9,27.9569128787879
119650,12,15.7481060606061
119231,12,15.6581439393939
125728,10,25.2769886363636
120728,12,18.2357954545455
121630,9,27.6420454545455
124975,11,21.484375
126478,9,28.1060606060606
119704,12,18.1515151515152
120372,10,28.2670454545455
121067,10,28.6079545454545
124209,12,12.5
124402,12,14.2092803030303
124693,12,10.0449810606061
120538,11,22.157196969697
125403,12,20.530303030303
119923,12,18.2575757575758
120904,10,27.8551136363636
121658,9,29.6898674242424
121001,10,28.3333333333333
125164,11,23.655303030303
124583,12,18.297821969697
120965,10,26.40625
121039,10,27.6491477272727
121663,9,27.8267045454545
122211,11,24.1964962121212
123668,12,18.9351325757576
121024,10,27.6231060606061
125069,11,23.4578598484848
122280,10,28.0989583333333
126450,9,27.9332386363636
121856,10,32.0880681818182
122355,11,24.7504734848485
124929,9,28.0610795454545
126482,9,28.0610795454545
123966,10,28.0610795454545
125802,11,22.3082386363636
125083,9,28.0610795454545
122716,9,27.5213068181818
126422,9,25.8664772727273
120234,12,16.5317234848485
126908,10,26.9578598484848
123232,11,18.9891098484848
120056,12,18.0658143939394
120969,10,27.4786931818182
121028,10,31.3257575757576
121611,9,28.984375
126576,10,21.9460227272727
120361,11,20.3267045454545
121595,9,28.0610795454545
120527,11,23.8844696969697
119670,12,15.5445075757576
121802,11,23.28125
122775,10,27.2443181818182
121070,10,27.6136363636364
121031,10,26.9578598484848
123321,10,26.8347537878788
120958,10,27.5
122251,12,10.1160037878788
125724,10,28.0610795454545
123616,9,30.9161931818182
120515,11,19.1761363636364
123260,10,33.5961174242424
126614,9,28.0610795454545
122440,10,27.8551136363636
122245,9,28.0610795454545
121006,10,27.5804924242424
123761,9,27.8551136363636
120960,10,28.3475378787879
125143,11,18.3143939393939
120367,11,22.5052083333333
125162,11,23.9824810606061
125864,11,21.4914772727273
120942,10,27.5
125797,10,30.1183712121212
125729,10,28.1628787878788
119524,12,25.2419507575758
120397,11,19.1761363636364
124042,11,19.1931818181818
119523,12,9.36316287878788
121068,10,31.1292613636364
123121,11,22.6160037878788
123253,12,14.2234848484848
126425,9,28.1178977272727
125722,10,28.1628787878788
122406,12,17.2679924242424
125762,10,29.5596590909091
123381,9,32.4597537878788
123744,9,28.6671401515152
125966,10,27.2514204545455
119943,12,13.7878787878788
123641,10,27.2230113636364
120501,11,20.9924242424242
121042,10,28.1344696969697
125209,11,16.155303030303
120537,11,26.2807765151515
121709,9,28.1628787878788
120992,10,27.9285037878788
124985,9,28.0610795454545
121549,9,28.0610795454545
119337,12,16.4839015151515
121000,10,28.1628787878788
124943,10,28.0610795454545
125031,12,15.4648526077098
121675,9,27.7840909090909
124060,12,17.9663825757576
125386,11,22.4337121212121
125931,9,28.1131628787879
124941,11,22.1439393939394
122690,9,28.0610795454545
123211,9,27.2940340909091
121614,10,27.5
119621,12,18.2840909090909
121638,9,27.9829545454545
119593,12,16.1742424242424
124581,12,11.4725378787879
120508,11,24.9313446969697
124543,12,13.2788825757576
125185,11,21.5482954545455
124564,12,15.4195011337868
123104,11,17.5639204545455
126434,9,28.0610795454545
125354,9,28.1747159090909
124933,10,28.1747159090909
125408,9,26.5411931818182
124525,12,23.3598484848485
119423,12,14.8745265151515
122022,9,28.828125
125940,9,27.8267045454545
123613,12,20.2192234848485
120449,11,30.5658143939394
120529,11,24.8371212121212
121680,9,27.4786931818182
121583,9,28.0610795454545
124333,12,14.2566287878788
121603,9,27.4786931818182
124521,12,16.5352564102564
122771,10,28.0610795454545
123567,11,23.9455492424242
120364,11,25.0875946969697
121691,9,27.2514204545455
125841,10,32.0052083333333
126186,9,27.9924242424242
122944,9,28.0610795454545
122618,11,28.9767992424242
120997,10,27.0975378787879
119883,12,17.2750946969697
123689,10,27.8077651515152
121112,11,22.1714015151515
120937,10,27.6136363636364
125833,10,25.2840909090909
120436,11,27.3200757575758
119507,12,23.030303030303
125063,12,16.735321969697
122210,12,18.0757575757576
120516,11,19.4176136363636
120503,11,25.9498106060606
125266,12,21.9460227272727
121602,9,28.0610795454545
120889,10,32.0880681818182
121585,9,28.0610795454545
120505,11,17.9616477272727
120615,11,17.4289772727273
124501,12,12.7133333333333
120504,11,24.1893939393939
120985,10,28.4138257575758
126633,10,28.5037878787879
120173,12,20.8939393939394
120588,11,25.0639204545455
125838,10,28.0610795454545
126430,9,25.4474431818182
124548,12,15.0099431818182
119508,12,15.2954545454545
125746,10,27.2727272727273
125739,10,27.5
120519,11,26.2760416666667
120886,10,28.1747159090909
121629,9,28.5653409090909
121558,9,28.0610795454545
121707,9,27.5
125116,11,18.921875
121459,12,22.0994318181818
