"name","address","latitude","longitude"
"Albany College of Pharmacy","106 New Scotland Avenue, Albany, NY 12208-3492",42.65202585,-73.7786121914516
"American University","4400 Massachusetts Avenue N.W., Washington, DC 20016",38.93804505,-77.0893922365193
"Assumption College","500 Salisbury St, Worcester, MA 01609-1296",42.28936,-71.82959
"Babson College","231 Forest Street, Wellesley, MA 02457-0310",42.29901595,-71.2623232981414
"Bates College","2 Andrews Road, Lewiston, ME 04240",NA,NA
"Becker College","61 Sever St, Worcester, MA 01609-2165",42.2691102,-71.8123238
"Belmont University","1900 Belmont Blvd, Nashville, TN 37212-3757",36.1021364,-86.801926
"Bentley University","175 Forest St, Waltham, MA 02452-4705",42.3858974,-71.2220680568894
"Boston College","140 Commonwealth Ave, Chestnut Hill, MA 02467",42.3354481,-71.1681386402306
"Boston University","855 Commonwealth Avenue, Room 552, Boston, MA 02215",NA,NA
"Boston University","One Silber Way, 8th Floor, Boston, MA 02215",NA,NA
"Brandeis University","415 South St., MS 100, Waltham, MA 02453-2700",NA,NA
"Bridgewater State University","131 Summer Street, Boyden Hall, Bridgewater, MA 02325",NA,NA
"Brown University","1 Prospect St, Providence, RI 02912",41.82576685,-71.4038426543115
"Bryant University","1150 Douglas Pike, Smithfield, RI 02917-1284",41.92209145,-71.5371517350434
"Bucknell University","Dent Drive, Lewisburg, PA 17837",40.9556381,-76.8889006
"Butler University","4600 Sunset Ave, Indianapolis, IN 46208",NA,NA
"Carnegie Mellon University","5000 Forbes Ave, Pittsburgh, PA 15213-3890",40.4442357,-79.9433849
"Case Western Reserve University","10900 Euclid Ave, Cleveland, OH 44106",41.50138695,-81.6007021615902
"Central Connecticut State University","1615 Stanley St, New Britain, CT 06050",41.6931989,-72.7653794677624
"Champlain College","163 S. Willard St, P.O. Box 670, Burlington, VT 05401",NA,NA
"Clark University","950 Main St, Worcester, MA 01610-1477",42.2518957,-71.8232735
"Clarkson University","8 Clarkson Avenue, Potsdam, NY 13699-5557",44.6668150310499,-74.9939106885112
"Clinton Community College","136 Clinton Point Drive, Plattsburgh, NY 12901",NA,NA
"Colby-Sawyer College","541 Main St, New London, NH 03257-7835",43.4118796,-71.9780266
"Colgate University","13 Oak Dr, Hamilton, NY 13346-1398",42.8193216656923,-75.5329017844357
"College of Charleston","66 George Street, Charleston, SC 29424-0001",32.7840738,-79.93568824
"Colorado College","14 East Cache La Poudre Street, Colorado Springs, CO 80903",38.8480439,-104.823950931401
"Community College of Vermont","660 Elm Street, P.O. Box 489, Montpelier, VT 05601-0489",NA,NA
"Concordia University","800 N Columbia Ave, Seward, NE 68434",40.9196514,-97.0919614
"Concordia University","2811 NE Holman Street, Portland, OR 97211-6099",45.57022705,-122.637093463826
"Concordia University","4090 Geddes Rd., Ann Arbor, MI 48105",42.2744971818182,-83.6805385454545
"Concordia University","12800 N. Lake Shore Dr., Mequon, WI 53097-2402",43.2102677,-87.9043289
"Connecticut College","270 Mohegan Ave, New London, CT 06320",41.3703884,-72.103908
"Curry College","1071 Blue Hill Ave, Milton, MA 02186-2395",42.2407263,-71.1148938
"Dartmouth College","207 Parkhurst Hall, Hanover, NH 03755",NA,NA
"Davidson College","209 Ridge Road, Davidson, NC 28035",35.5062714878381,-80.8394045082742
"Denison University","100 West College Rd, Granville, OH 43023-0713",NA,NA
"Dickinson College","P. O. Box 1773, Carlisle, PA 17013-2896",NA,NA
"Drexel University","3141 Chestnut St, Philadelphia, PA 19104",39.95411745,-75.1868492073772
"Eastern Nazarene College","23 E Elm Ave, Quincy, MA 02170-2999",42.2710373,-71.0098776
"Eastern University","1300 Eagle Rd, Saint Davids, PA 19087-3696",40.0509427,-75.3701888
"Eckerd College","4200 54th Avenue South, Saint Petersburg, FL 33711-4700",27.71426575,-82.6855431835174
"Eckerd College","4200 54th Avenue South, Saint Petersburg, FL 33711-4700",27.71426575,-82.6855431835174
"Elmira College","One Park Place, Elmira, NY 14901",NA,NA
"Elmira College","One Park Place, Elmira, NY 14901",NA,NA
"Elon University","100 Campus Drive, Elon, NC 27244-2010",NA,NA
"Elon University","100 Campus Drive, Elon, NC 27244-2010",NA,NA
"Elon University","100 Campus Drive, Elon, NC 27244-2010",NA,NA
"Emmanuel College","181 Spring Street, Franklin Springs, GA 30639",34.2833949693393,-83.1474812583433
"Emmanuel College","400 The Fenway, Boston, MA 02115",42.34046225,-71.101642845482
"Emmanuel College","181 Spring Street, Franklin Springs, GA 30639",34.2833949693393,-83.1474812583433
"Emmanuel College","400 The Fenway, Boston, MA 02115",42.34046225,-71.101642845482
"Emory University","1520 Clifton Rd. NE, Atlanta, GA 30322",33.7689292,-84.33302
"Endicott College","376 Hale St, Beverly, MA 01915",42.55504,-70.85058
"Fairfield University","1073 N Benson Rd, Fairfield, CT 06824-5195",41.15967565,-73.2574031019721
"Flagler College","74 King Street, Saint Augustine, FL 32084",29.8926634,-81.3150195231195
"Florida Atlantic University","777 Glades Rd, Boca Raton, FL 33431-0991",26.3743445,-80.102723601345
